SEQUENCIA-AREA-DE-ATUACAO,NOME-GRANDE-AREA-DO-CONHECIMENTO,NOME-DA-AREA-DO-CONHECIMENTO,NOME-DA-SUB-AREA-DO-CONHECIMENTO,NOME-DA-ESPECIALIDADE,AREAS-DE-ATUACAO_Id
"1","CIENCIAS_SOCIAIS_APLICADAS","Economia","Economia de Empresas","",0
"2","CIENCIAS_SOCIAIS_APLICADAS","Administração","Administração de Empresas","Administração Financeira",0
"3","CIENCIAS_SOCIAIS_APLICADAS","Economia","Métodos Quantitativos em Economia","",0
"4","CIENCIAS_SOCIAIS_APLICADAS","Economia","Economias Agrária e dos Recursos Naturais","Economia Agrícola",0
