PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"140",0
1,"175",0
2,"176",0
3,"177",0
4,"178",0
5,"219",0
6,"220",0
7,"222",0
8,"223",0
9,"224",0
10,"225",0
11,"221",0
