NIVEL-DO-CURSO,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id
"APERFEICOAMENTO","Treinamento para gerentes do Banco do Brasil em mercado de derivativos","2007","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",0
"APERFEICOAMENTO","Treinamento para gerentes do Banco do Brasil em mercados de derivativos","2008","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",1
"ESPECIALIZACAO","Curso de Especialização em Agribusiness - Banco do Brasil","2001","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",2
"APERFEICOAMENTO","Curso Bradesco - Capacitação e Custódia e Controladoria. Introdução aos Mercados de Derivativos","2008","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",3
