NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id
"Graduação","A utilização dos mercados futuros na proteção contra riscos de preço na agropecuária brasileira","2006","Brasil","Português","","","",0
"Graduação","Diversificação internacional de carteira: um estudo sobre a co-integração dos índices S&P500, Ibovespa, FTSE-100 e Nikkey 225","2007","Brasil","Português","","","",1
"Graduação","ESTUDO DO COMPORTAMENTO DA BASE EM OPERAÇÕES DE HEDGE NO MERCADO FUTURO DE BOI GORDO DA BM&F","2007","Brasil","Português","","","",2
