NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,TRABALHO-TECNICO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",11,,,,,,
"JOSÉ CESAR CRUZ JÚNIOR","JOSÉ CESAR CRUZ JÚNIOR","2","0086426315229286",11,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",12,,,,,,
"Geraldo Sant'Ana de Camargo Barros","BARROS, G. S. C.","2","8404786723177950",12,,,,,,
"Leandro dos Santos Maciel","MACIEL, L. S.","1","8223366539713305",13,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","2","7916021882928474",13,,,,,,
"Rosangela Ballini","BALLINI, R.","3","1766558858445284",13,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",14,,,,,,
"Leandro dos Santos Maciel","MACIEL, L. S.","2","8223366539713305",14,,,,,,
"Rosangela Ballini","BALLINI, R.","3","1766558858445284",14,,,,,,
"Ricardo M. Marinho","MARINHO, R. R.","4","",14,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",15,,,,,,
"Alexandre Gori Maia","Maia, A. G.","2","8284067987442342",15,,,,,,
"JOSÉ CESAR CRUZ JÚNIOR","JOSÉ CESAR CRUZ JÚNIOR","3","0086426315229286",15,,,,,,
"Maria Sylvia Macchione Saes","Saes, Maria Sylvia Macchione","4","1114037512202812",15,,,,,,
"Bruno de Paola Patrocínio","Patrocínio, B. P.","1","",16,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","2","7916021882928474",16,,,,,,
"Leonardo Henrique Zamariola","ZAMARIOLA, L. H.","1","",17,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","2","7916021882928474",17,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",18,,,,,,
"José César Cruz Júnior.","JUNIOR., J. C. C.","2","0086426315229286",18,,,,,,
"Maria Sylvia Macchione Saes","Saes, Maria Sylvia Macchione","3","1114037512202812",18,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",19,,,,,,
"Leandro dos Santos Maciel","MACIEL, L. S.","2","8223366539713305",19,,,,,,
"Rosangela Ballini","BALLINI, R.","3","1766558858445284",19,,,,,,
