NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,TRABALHO-TECNICO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","2","7916021882928474",,9,,,,,
"Ivette R. Luna Huamaní","HUAMANI, I. R. L.","3","2854855744345507",,9,,,,,
"Rosangela Ballini","BALLINI, R.","4","1766558858445284",,9,,,,,
"Maria Carolina de Azevedo Ferreira de Souza","SOUZA, M. C. A. F.","1","2252148601836019",,10,,,,,
"Leonel Mazzali","MAZZALI, L.","2","6956578887896594",,10,,,,,
"Miguel Juan Bacic","BACIC, M. J.","3","8997803246951593",,10,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","4","7916021882928474",,10,,,,,
"SOUZA, MARIA CAROLINA DE AZEVEDO FERREIRA","SOUZA, MARIA CAROLINA DE AZEVEDO FERREIRA","1","",,11,,,,,
"MAZZALI, LEONEL","MAZZALI, LEONEL","2","6956578887896594",,11,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, RODRIGO LANNA FRANCO DA","3","",,11,,,,,
"BACIC, MIGUEL JUAN","BACIC, MIGUEL JUAN","4","8997803246951593",,11,,,,,
"Rodrigo Lanna Franco da Silveira","DA SILVEIRA, RODRIGO LANNA FRANCO","1","",,12,,,,,
"GORI MAIA, ALEXANDRE","GORI MAIA, ALEXANDRE","2","",,12,,,,,
"CRUZ JÚNIOR, JOSÉ CÉSAR","CRUZ JÚNIOR, JOSÉ CÉSAR","3","0086426315229286",,12,,,,,
"MACCHIONE SAES, MARIA SYLVIA","MACCHIONE SAES, MARIA SYLVIA","4","",,12,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","1","",,13,,,,,
"Maciel, Leandro dos Santos","Maciel, Leandro dos Santos","2","",,13,,,,,
"Rosangela Ballini","BALLINI, R.","3","1766558858445284",,13,,,,,
"Pedro C. Bias Fortes","FORTES, P. C. B.","1","",,14,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","2","",,14,,,,,
"Miguel Juan Bacic","BACIC, M. J.","3","8997803246951593",,14,,,,,
"Maria Sylvia Macchione Saes","Saes, Maria Sylvia Macchione","1","1114037512202812",,15,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","2","",,15,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","1","",,16,,,,,
"MARCELO JOSÉ CARRER","CARRER, M. J.","2","6178330814144839",,16,,,,,
"Thiago B. Carvalho","CARVALHO, T. B.","3","",,16,,,,,
"Caroline Acosta Lezcano Foscaches","FOSCACHES, C. A. L.","4","1620348717944459",,16,,,,,
"Maria Sylvia Macchione Saes","Saes, Maria Sylvia Macchione","5","1114037512202812",,16,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","1","",,17,,,,,
"Leandro S. Maciel","Leandro S. Maciel","2","8223366539713305",,17,,,,,
"Rosangela Ballini","BALLINI, R.","3","1766558858445284",,17,,,,,
"Camila Veneo Campos Fonseca","FONSECA, C. V. C.","1","",,18,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, RODRIGO L. F.","2","",,18,,,,,
"Camila Veneo Campos Fonseca","FONSECA, C. V. C.","1","",,19,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, RODRIGO L. F.","2","",,19,,,,,
"Celio Hiratuka","HIRATUKA, C.","3","",,19,,,,,
"MATTOS, FABIO L.","MATTOS, FABIO L.","1","",,20,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, RODRIGO L. F.","2","",,20,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, RODRIGO LANNA F. DA","1","",,21,,,,,
"MATTOS, FABIO L.","MATTOS, FABIO L.","2","",,21,,,,,
"SAES, MARIA SYLVIA M.","SAES, MARIA SYLVIA M.","3","",,21,,,,,
"MARCELO JOSÉ CARRER","CARRER, M. J.","1","6178330814144839",,22,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","2","7916021882928474",,22,,,,,
"MARCELA MELLO BRANDÃO VINHOLIS","VINHOLIS, M. M. B.","3","5730999136286305",,22,,,,,
"HILDO MEIRELLES DE SOUZA FILHO","SOUZA FILHO, H. M.","4","3740950346967524",,22,,,,,
"Antonio Márcio Buainain","Buainain, A. M.","1","",,,0,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","2","",,,0,,,,
"Ivette R. Luna Huamaní","HUAMANI, I. R. L.","1","2854855744345507",,,,0,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","2","7916021882928474",,,,0,,,
"Leandro dos Santos Maciel","MACIEL, L. S.","3","8223366539713305",,,,0,,,
"Rosangela Ballini","BALLINI, R.","4","1766558858445284",,,,0,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","1","",,,,1,,,
"MARCELO JOSÉ CARRER","CARRER, M. J.","2","6178330814144839",,,,1,,,
"Thiago B. Carvalho","CARVALHO, T. B.","3","",,,,1,,,
"Caroline Acosta Lezcano Foscaches","FOSCACHES, C. A. L.","4","1620348717944459",,,,1,,,
"Antonio Márcio Buainain","Buainain, A. M.","1","",,,,2,,,
"Maria Thereza Macedo Pedrosa","PEDROSA, M. T. M.","2","",,,,2,,,
"Pedro Abel Vieira Júnior","VIEIRA JUNIOR, P. A.","3","",,,,2,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","4","",,,,2,,,
"Zander Navarro","NAVARRO, Z.","5","",,,,2,,,
"Maria Sylvia Macchione Saes","Saes, Maria Sylvia Macchione","1","1114037512202812",,,,3,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","2","",,,,3,,,
"Ana Lucia Gonçalves da Silva","Silva, Ana Lucia Gonçalves","1","",,,,4,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","2","7916021882928474",,,,4,,,
"Miguel Juan Bacic","BACIC, M. J.","3","8997803246951593",,,,4,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",,,,,0,,
"Joaquim Bento de Sousa Ferreira Filho","FERREIRA FILHO, J. B. S.","2","2464089587609552",,,,,0,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",,,,,1,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",,,,,2,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",,,,,,0,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",,,,,,,0
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",,,,,,,1
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",,,,,,,2
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",,,,,,,3
