ATUACAO-PROFISSIONAL_Id,CODIGO-INSTITUICAO,NOME-INSTITUICAO,SEQUENCIA-ATIVIDADE,SEQUENCIA-IMPORTANCIA,ATUACOES-PROFISSIONAIS_Id
0,"985600405539","Faculdades de Campinas","1","2",0
1,"000600000990","Instituto Santanense de Ensino Superior","2","5",0
2,"000700000992","Centro de Ensino a Distância S/A","3","4",0
3,"000800000994","Bolsa de Mercadorias & Futuros","4","3",0
4,"037900000006","Fundação Instituto de Pesquisas Econômicas","5","6",0
5,"007900000004","Universidade Estadual de Campinas","6","1",0
6,"000900000996","Revista de Economia e Sociologia Rural","7","",0
7,"001000000998","Economia e Sociedade (UNICAMP)","8","",0
8,"037700000002","Fundação de Amparo à Pesquisa do Estado de São Paulo","9","",0
9,"001100000990","Revista Brasileira de Inovação","10","",0
10,"JRFP00000009","University of Nebraska/Lincoln","11","",0
