ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,SEQUENCIA-PRODUCAO,ORIENTACOES-EM-ANDAMENTO_Id
0,"217",0
1,"186",0
2,"216",0
3,"184",0
4,"207",0
