IDIOMA,DESCRICAO-DO-IDIOMA,PROFICIENCIA-DE-LEITURA,PROFICIENCIA-DE-FALA,PROFICIENCIA-DE-ESCRITA,PROFICIENCIA-DE-COMPREENSAO,IDIOMAS_Id
"EN","Inglês","BEM","RAZOAVELMENTE","POUCO","RAZOAVELMENTE",0
"ES","Espanhol","RAZOAVELMENTE","POUCO","POUCO","RAZOAVELMENTE",0
