SEQUENCIA-ESPECIFICACAO,DISCIPLINA_Text,ENSINO_Id
"1","Administração Financeira II",0
"2","Econometria",0
"3","Estatística e Introdução à Econometria",0
"4","Administração Financeira I",0
"5","Matemática Financeira",0
"1","Economia Brasileira II",1
"2","Economia II",1
"3","Economia I",1
"4","Análise Microeconômica",1
"5","Economia Brasileira I",1
"6","Teoria Econômica II",1
"7","Teoria Econômica I",1
"1","Mercado Agropecuário",2
"2","Mercado de Ibovespa",2
"3","Introdução aos Mercados de Derivativos",2
"4","Mercado de Taxa de Câmbio",2
"5","Mercado de Taxa de Juros",2
"1","Derivativos agropecuários e financeiros",3
"1","Contabilidade e Análise de Balanços",4
"2","Métodos Quantitativos Aplicados a Economia Financeira",4
"1","Derivativos",5
"2","Métodos quantitativos aplicados",5
"1","Tópicos Especiais em Economia",6
