CODIGO-INSTITUICAO,NOME-INSTITUICAO,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id
"","",0
"","",1
"000300000995","Escola Superior de Agricultura "Luiz de Queiroz" - ESALQ/USP",2
"000300000995","Escola Superior de Agricultura "Luiz de Queiroz" - ESALQ/USP",3
"000300000995","Escola Superior de Agricultura "Luiz de Queiroz" - ESALQ/USP",4
"IWU400000003","Universidade Federal do ABC",5
"007900000004","Universidade Estadual de Campinas",6
"J7ZO00000007","Faculdade de Economia, Administração e Contabilidade - USP",7
