CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,SEQUENCIA-PRODUCAO,DEMAIS-TIPOS-DE-PRODUCAO-TECNICA_Id
0,"29",0
1,"31",0
2,"32",0
3,"30",0
