NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id
"Roberto Arruda de Souza Lima","LIMA, R. A. S.","1","",0,,,,
"Humberto Francisco Silva Spolador","Spolador, H. F. S.","2","",0,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","3","7916021882928474",0,,,,
"Fabiano Guasti Lima","LIMA, F. G.","1","",1,,,,
"Antonio Lopo Martinez","MARTINEZ, A. L.","3","",1,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","2","7916021882928474",1,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","4","",2,,,,
"Celio Hiratuka","HIRATUKA, C.","1","",2,,,,
"Renato de Castro Garcia","GARCIA, R. C.","2","",2,,,,
"Rudinei Toneto Júnior","TONETO JUNIOR, R.","3","",2,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","3","",3,,,,
"Luiz Antonio Teixeira Vasconcelos","VASCONCELOS, L. A. T.","1","",3,,,,
"Leandro Pereira Morais","MORAIS, L. P.","2","",3,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","3","",4,,,,
"Bastiaan Philip Reydon","REYDON, B. P.","2","",4,,,,
"Pedro ramos","RAMOS, P.","1","",4,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, RODRIGO L. F.","3","",5,,,,
"Alexandre Gori Maia","Maia, A. G.","1","8284067987442342",5,,,,
"Jose Maria Ferreira Jardim da Silveira","Silveira, J. M. F.","2","",5,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","3","",6,,,,
"Miguel Juan Bacic","BACIC, M. J.","2","8997803246951593",6,,,,
"MARCELO JOSÉ CARRER","CARRER, M. J.","1","6178330814144839",6,,,,
"JOSÉ CESAR CRUZ JÚNIOR","JOSÉ CESAR CRUZ JÚNIOR","1","0086426315229286",,0,,,
"Mirian Rumenos Piedade Bacchi","Bacchi, M. R. P.","2","",,0,,,
"Pedro Valentim Marques","MARQUES, P. V.","3","",,0,,,
"Fabiana Perobelli Urso","URSO, F. P.","4","",,0,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","5","7916021882928474",,0,,,
"Jose Maria Ferreira Jardim da Silveira","Silveira, J. M. F.","1","",,1,,,
"Lilian Maluf de Lima Cunha","Cunha, L. M. L.","3","",,1,,,
"Valeria Comitre","Comitre, V.","4","",,1,,,
"Jose Roberto Vicente","Vicente, J. R.","5","",,1,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","2","7916021882928474",,1,,,
"Antonio Márcio Buainain","Buainain, A. M.","1","",,2,,,
"Walter Balik","Belik, W.","3","",,2,,,
"HILDO MEIRELLES DE SOUZA FILHO","SOUZA FILHO, H. M.","4","3740950346967524",,2,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","2","7916021882928474",,2,,,
"Pedro Valentim Marques","MARQUES, P. V.","3","",,3,,,
"Roberto Arruda de Souza Lima","LIMA, R. A. S.","1","",,3,,,
"Alexandre Lopes Gomes","GOMES, A. L.","2","",,3,,,
"Vitor A. Osaki","OSAKI, V. A.","4","",,3,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","5","7916021882928474",,3,,,
"Vitor A. Osaki","OSAKI, V. A.","1","",,4,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","2","7916021882928474",,4,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","3","",,5,,,
"Jose Maria Ferreira Jardim da Silveira","Silveira, J. M. F.","2","",,5,,,
"Antonio Márcio Buainain","Buainain, A. M.","1","",,5,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","3","",,6,,,
"Jose Maria Ferreira Jardim da Silveira","Silveira, J. M. F.","2","",,6,,,
"Walter Belik","BELIK, W.","1","",,6,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","4","",,7,,,
"Humberto Francisco Silva Spolador","Spolador, H. F. S.","3","",,7,,,
"Jose Maria Ferreira Jardim da Silveira","Silveira, J. M. F.","1","",,7,,,
"Antonio Márcio Buainain","Buainain, A. M.","2","",,7,,,
"Fabiano Guasti Lima","LIMA, F. G.","1","",,,0,,
"Antonio Lopo Martinez","MARTINEZ, A. L.","2","",,,0,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","3","7916021882928474",,,0,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","2","",,,1,,
"Fabiano Guasti Lima","LIMA, F. G.","1","",,,1,,
"Tabajara Pimenta Junior","PIMENTA JUNIOR, T.","3","",,,1,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","3","",,,2,,
"Claudio Silveira Brisolara","BRISOLARA, C. S.","1","",,,2,,
"Renata Alcarde Sermarini","SERMARINI, R. A.","2","",,,2,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","3","",,,3,,
"JOSÉ CESAR CRUZ JÚNIOR","JOSÉ CESAR CRUZ JÚNIOR","2","0086426315229286",,,3,,
"Daniel Henrique Dario Capitani","CAPITANI, D. H. D.","1","",,,3,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","3","",,,4,,
"Ivette R. Luna Huamaní","HUAMANI, I. R. L.","2","2854855744345507",,,4,,
"Walter Belik","BELIK, W.","1","",,,4,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","3","",,,5,,
"Alexandre Gori Maia","Maia, A. G.","1","8284067987442342",,,5,,
"Gustavode Oliveira Aggio","AGGIO, G. O.","2","",,,5,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","3","",,,6,,
"Mauricio Serra","SERRA, M.","1","",,,6,,
"Bastiaan Philip Reydon","REYDON, B. P.","2","",,,6,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","3","",,,7,,
"Ballini, Rosangela","Ballini, Rosangela","1","1766558858445284",,,7,,
"Celio Hiratuka","HIRATUKA, C.","2","",,,7,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","3","",,,8,,
"Rosangela Ballini","BALLINI, R.","1","1766558858445284",,,8,,
"Maciel, Leandro dos Santos","Maciel, Leandro dos Santos","2","",,,8,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","3","",,,9,,
"Jose Maria Ferreira Jardim da Silveira","Silveira, J. M. F.","2","",,,9,,
"Antonio Márcio Buainain","Buainain, A. M.","1","",,,9,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","3","",,,10,,
"Miguel Juan Bacic","BACIC, M. J.","1","8997803246951593",,,10,,
"Bastiaan Philip Reydon","REYDON, B. P.","2","",,,10,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","3","",,,11,,
"Rosangela Ballini","BALLINI, R.","1","1766558858445284",,,11,,
"Maciel, Leandro dos Santos","Maciel, Leandro dos Santos","2","",,,11,,
"Vitor Augusto Barbosa Gaspar","GASPAR, V. A. B.","1","",,,,0,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","2","7916021882928474",,,,0,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",,,,1,
