NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-ENCONTRO_Id
"V Encontro Internacional da AKB","","","","São Paulo","",0
"V Encontro Internacional da AKB","","","","São Paulo","",1
"XVI Encontro Nacional de Economia Política","","","","Uberlândia","",2
"II Encontro Internacional da Associação Keynesiana Brasileira","","","","Porto Alegre, RS","",3
"XXVI Encontro Nacional de Economia da ANPEC","","","","Vitória - ES","",4
"V Encontro Internacional da AKB","","","","São Paulo","",5
"II Encontro Internacional da Associação Keynesiana Brasileira","","","","Porto Alegre, RS","",6
"II Encontro Internacional da Associação Keynesiana Brasileira","","","","Porto Alegre","",7
"Encontro Nacional de Economia Clássica e Política","","","","Niterói - RJ","",8
"I Encontro Internacional da Associação Keynesiana Brasileira","","","","Campinas","",9
"XLIII Encontro Nacional de Economia","","","","Floroanópolis","",10
"XXVIII Encontro Nacional de Economia da ANPEC","","","","Campinas - SP","",11
"XIV Encontro Nacional de Economia Política","","","","São Paulo","",12
"XLIII Encontro Nacional de Economia","","","","Florianópolis","",13
