NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id
"Graduação","O acordo de Basiléia, a adequação de capital e a implementação no sistema bancário brasileiro","2002","Brasil","Português","","","",0
"Graduação","O regime de metas para inflação no Brasil: teoria e prática","2003","Brasil","Português","","","",1
"Graduação","Derivativos e a relação com a atividade real da economia: um estudo de caso","2003","Brasil","Português","","","",2
"Graduação","O desenvolvimento do mercado de capitais nacional: um enfoque na oportunidades de financiamento das empresas","2005","Brasil","Português","","","",3
"Graduação","O padrão brasileiro de financiamento do investimento","2005","Brasil","Português","","","",4
"Graduação","Os processos de consolidação e internacionalização do sistema bancário alemão","2006","Brasil","Português","","","",5
"Graduação","Regime de Metas e Inflação: Uma Comparação enrte o Brasil e o Chile","2007","Brasil","Português","","","",6
"Graduação","O conceito de capital a juros em Marx e seus desdobramentos","2007","Brasil","Português","","","",7
"Graduação","Crises Financeiras Recentes e Implementação do Acordo de Basiléia em Países Selecionados da América Latina","2008","Brasil","Português","","","",8
"Graduação","O Denvolvimento do Mercado de Capital Brasileiro: Consequência da Abertura de Capital para as Empresas de Ensino Superior","2008","Brasil","Português","","","",9
"Graduação","A Atuação dos Bancos e o Comportamento do Crédito no Brasil 1994 a 2008","2008","Brasil","Português","","","",10
"Graduação","A Economia política de Maria da Conceição Tavares: Influências, Trajetórias, Contribuições","2008","Brasil","Português","","","",11
"Graduação","Origens da Crise Imobiliária Americana no Início do Altual Século","2008","Brasil","Português","","","",12
"Graduação","Finanças Comportamentais: Decisões Emocionais dos Investidores","2009","Brasil","Português","","","",13
"Graduação","As Especificidades do Formato de Basileia II a Ser Adotado no Brasil","2009","Brasil","Português","","","",14
"Graduação","A atuação do Federal Reserve sob as finanças desregulamentadas: a crise do subprime e as respostas do Federal Reserve","2009","Brasil","Português","","","",15
"Graduação","Papel do BNDES no Recente Processo de Internacionalização das Empresas Brasileiras","2010","Brasil","Português","","","",16
"Graduação","Os Impactos da Crise Financeira Mundial Sobre as Economias do Mercosul","2010","Brasil","Português","","","",17
"Graduação","O Papel dos Bancos Públicos Federais Brasileiros","2010","Brasil","Português","","","",18
"Graduação","Financiamento e Desenvolvimento na América Latina nos Anos 1990","2010","Brasil","Português","","","",19
"Graduação","A Expansão do Crédito Imobiliário na Economia Brasileira de 2005 a 2009","2010","Brasil","Português","","","",20
"Graduação","Determinantes do Spread Bancário no Brasil (1999-2011)","2011","Brasil","Português","","","",21
"Graduação","A atuação do Banco do Brasil no mercado de crédito no período recente (2006-2010)","2011","Brasil","Português","","","",22
"Graduação","Instrumentos macroprudenciais no regime de metas para inflação:laços que se unem","2011","Brasil","Português","","","",23
"Graduação","Uma análise do debate acerca da vulnerabilidade externa do Brasil no período 2003-2010","2011","Brasil","Português","","","",24
"Graduação","Política monetária e estabilidade de preços pós-crise 2008: o caso do Banco Central brasileiro","2011","Brasil","Português","","","",25
"Graduação","Importância do sistema financeiro e estrutura de capital das empresas no Brasil: um estudo bibliográfico","2013","Brasil","Português","","","",26
"Graduação","Financiamento de longo prazo no Brasil.","2012","Brasil","Português","","","",27
"Graduação","OS GRANDES BANCOS PÚBLICOS FEDERAIS ATUAÇÃO NO CICLO DE CRÉDITO 2004-2008 E NO ENFRENTAMENTO DA CRISE FINANCEIRA INTERNACIONAL","2014","Brasil","Português","","","",28
"Graduação","sistema Financeiro Chinês: caracterização, processo de internacionalização bancária e principais mudanças após a crise de 2008","2014","Brasil","Português","","","",29
"Graduação","Rumo à União Bancária: o mecanismo único de supervisão do Banco Central Europeu (BCE)","2014","Brasil","Português","","","",30
"Graduação","Crise Financeira Vista no Cinema","2013","Brasil","Português","","","",31
"Graduação","A hipótese da instabilidade financeira no ?Money Manager Capitalism?: um estudo de conceitos propostos por Minsky","2015","Brasil","Português","","","",32
"Graduação","O capitalismo monopolista: convergências e divergências entre os autores marxistas clássicos e os contemporâneos","2015","Brasil","Português","","","",33
"Graduação","A ideia de nação no pensamento da Escola Histórica Alemã","2016","Brasil","Português","","","",34
"Graduação","Estudo teórico dos impactos da flexibilidade dos preços e salários no nível de emprego","2007","Brasil","Português","","","",35
