OUTRAS-ORIENTACOES-CONCLUIDAS_Id,SEQUENCIA-PRODUCAO,ORIENTACOES-CONCLUIDAS_Id
0,"3",0
1,"4",0
2,"34",0
3,"43",0
4,"49",0
5,"50",0
6,"51",0
7,"94",0
8,"99",0
9,"100",0
10,"101",0
11,"102",0
12,"145",0
13,"215",0
14,"216",0
15,"218",0
16,"232",0
17,"263",0
18,"264",0
19,"285",0
20,"286",0
21,"287",0
22,"303",0
23,"304",0
24,"309",0
25,"328",0
26,"330",0
27,"332",0
28,"333",0
29,"341",0
30,"344",0
31,"429",0
32,"435",0
33,"436",0
34,"461",0
35,"520",0
36,"217",0
