TITULO-DO-PERIODICO-OU-REVISTA,ISSN,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,LOCAL-DE-PUBLICACAO,ARTIGO-PUBLICADO_Id
"Ensaios FEE","01011723","19","","","38","61","Porto Alegre - RS",0
"Econômica (Niterói)","15171302","1","II","","79","105","Niterói - RJ",1
"Revista de Economia Política","01013157","21","4","","93","111","São Paulo",2
"Análise Econômica (UFRGS)","01029924","38","","","23","44","",3
"Análise Econômica (UFRGS)","01029924","32","","","129","133","",4
"Economia e Sociedade (UNICAMP. Impresso)","01040618","15","","","548","576","",5
"A Economia em Revista","14136090","2","","","29","48","",6
"Revista de Economia Política (Impresso)","01013157","29","","","3","","",7
"Revista de Economia Contemporânea (Impresso)","14159848","13","","1","47","79","",8
"Nova Economia (UFMG. Impresso)","01036351","23","","1","155","184","",9
"Análise Econômica (UFRGS)","01029924","29","","","número 56","","",10
"Revue de la Regulation: capitalisme, institutions, pouvoirs","19577796","6","","","1","","",11
"Leituras de Economia Política (UNICAMP)","14156245","1","","","1","","",12
"Estudo & Debate (UNIVATES. Impresso)","01047132","1","","","1","","",13
"Estudo & Debate (UNIVATES. Impresso)","01047132","1","","","1","","",14
"Análise Econômica (UFRGS)","01029924","32","","61","7","40","",15
"The Journal of European Economic History","03915115","XLIV","","1","77","111","",16
"Oikos (Rio de Janeiro)","18080235","9","","","2","","",17
