ORGANIZACAO-DE-EVENTO_Id,SEQUENCIA-PRODUCAO,DEMAIS-TIPOS-DE-PRODUCAO-TECNICA_Id
0,"70",0
1,"111",0
2,"165",0
3,"256",0
4,"345",0
5,"506",0
6,"525",0
