TITULO-DO-LIVRO,NUMERO-DE-VOLUMES,PAGINA-INICIAL,PAGINA-FINAL,ISBN,ORGANIZADORES,NUMERO-DA-EDICAO-REVISAO,NUMERO-DA-SERIE,CIDADE-DA-EDITORA,NOME-DA-EDITORA,CAPITULO-DE-LIVRO-PUBLICADO_Id
"Regulação Bancária e Financeira: Evolução e Perspectiva a partir dos Acordos de Basiléia","","299","334","8586215511","Ana Rosa Ribeiro Mendonça, Rogério P. de Andrade","","","Campinas","Instituto de Economia da Unicamp",0
"Pesquisas em Relações Econômicas Internacionais","","171","192","9788576311638","","","","Brasília","Fundação Alexandre de Gusmão",1
"La Nueva Geografia Economica de America del Sur","","","","9788890384226","Rhi-Sausi, J.L.; Almeida, A. O.","","","Roma","CeSPI",2
"Bancos Públicos e Desenvolvimento","1","49","72","9788578110529","Frederico Gonzaga Jayme Jr.; Marco Crocco","1","","Rio de Janeiro","IPEA",3
"Perspectivas do Investimento no Brasil: Temas Transversais","4","251","293","9788561325497","David kupfer; Mariano F. Laplane; Célio Hiratuka","1","","Rio de Janeiro","Synergia",4
"II Seminário sobre Pesquisas em Relações Econômicas Internacionais","","291","319","9788576312802","","","","Brasília","FUNAG",5
"As Transformações no Sistema Financeiro Internacional","1","371","409","9788578111489","Marcos Antonio Macedo Cintra; Keiti da Rocha Gomes","1","","Brasilia","IPEA",6
"Sistema Financeiro e Política Econômica em uma Era de Estabilidade","","64","71","9788535263343","André de Melo Modenesi; Daniela Magalhães Prates; José Luis Oureiro; Luiz Fernando de Paula; Marco Flávio da Cunha Resende","1","","São Paulo","Elsevier Editora Ltda",7
"[14:26:51] Simone Deos: Formação e internacionalização de grandes empresas: experiências internacionais selecionadas","","245","331","9788572851404","Simone Silva de Deos; Giuliano Contento de Oliveira","1","","São Paulo e Campinas","FUNDAP e Ceri/IE/Unicamp",8
"Formação e internacionalização de grandes empresas: experiências internacionais selecionadas","1","13","22","9788572851404","Simone Silva de Deos; Giuliano Contento de Oliveira","1","","São Paulo e Campinas","FUNDAP e Ceri/IE/Unicamp",9
"Dicionário de Políticas Públicas","2","1","","9788540100985","Geraldo Di Giovanni; Marco Aurélio Nogueira","1","","São Paulo","Fundap",10
"Dicionário de Políticas Públicas","","1","","9788540100978","Geraldo Di Giovanni; Marco Aurélio Nogueira","1","","São Paulo","Fundap",11
"A crise financeira internacional: origens, desdobramentos e perspectivas","1","17","20","8539303647","Fernando Ferrari filho; Luiz Fernando de Paula","1","","São Paulo","",12
"A crise financeira internacional: origens, desdobramentos e perspectivas","1","17","20","9788539303649","Fernando Ferrari Filho; Luiz Fernando de Paula","1","","São Paulo","Editora Unesp",13
"Dimensões Estratégicas do Desenvolvimento Brasileiro:as mudanças mundiais em curso e seus impactos sobre as perspectivas de desenvolvimento do Brasil.","V.1","27","70","9788560755","Centro de Gestão e Estudos Estratégicos","1","","Brasília","Centro de Gestão e Estudos Estratégicos",14
"China em transformação: dimensões econômicas e geopolíticas do desenvolvimento","1","391","424","9788578112578","Marcos Antonio Macedo Cintra; Edison Benedito da Silva Filhp; Eduardo Costa Pinto","1","","Brasília","Instituto de Pesquisa Econômica Aplicada",15
"Dimensões Estratégicas do Desenvolvimento Brasileiro: continuidade e mudança no cenário global e os desafios à inserção do Brasil","5","155","175","9788555691195","Centro de Gestão e Estudos Estratégicos","1","","Brasília","Centro de Gestão e Estudos Estratégicos",16
"Dicionário de Políticas Públicas","","1","","9788540100992","Geraldo Di Giovanni; Marco Aurélio Nogueira","1","","São Paulo","Fundap",17
