SEQUENCIA-FUNCAO-ATIVIDADE,FLAG-PERIODO,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,CODIGO-ORGAO,NOME-ORGAO,CODIGO-UNIDADE,FORMATO-CARGO-OU-FUNCAO,CARGO-OU-FUNCAO,NOME-UNIDADE,CARGO-OU-FUNCAO-INGLES,ATIVIDADES-DE-DIRECAO-E-ADMINISTRACAO_Id
"6","ANTERIOR","11","2007","12","2009","007937000008","Instituto de Economia","007937001993","LIVRE","Diretora Executiva do Centro de Estudos de Relações Econômicas Internacionais","Centro de Estudos de Relações Econômicas Internacionais","",0
"18","ANTERIOR","12","2009","04","2012","007937000008","Instituto de Economia","007937001993","LIVRE","Diretora Executiva Adjunta do Centro de Estudos de Relações Econômicas Internacionais","Centro de Estudos de Relações Econômicas Internacionais","",0
"30","ATUAL","12","2015","","","007937000008","Instituto de Economia","","LIVRE","Coordenadora do Programa de Pós Graduação em Economia","","",0
"25","ANTERIOR","04","2012","01","2013","007937000008","Instituto de Economia","007937001993","LIVRE","Diretora Executiva do Centro de Estudos de Relações Econômicas Internacionais (desde 26/04/2012)","Centro de Estudos de Relações Econômicas Internacionais","",0
