SEQUENCIA-ESPECIFICACAO,DISCIPLINA_Text,ENSINO_Id
"1","Teoria Econômica I - Introdução à Economia I",0
"2","Teoria Econômica II - Introdução à Economia II",0
"1","Auxiliar de ensino na Disciplina de Macroeconomia I",1
"2","Estagiária Docente (PED) na Disciplina de Economia Política I",1
"1","HO-821 Economia Política I",2
"1","Economia Monetária",3
"2","Economia Política I",3
"3","Economia Política II",3
"4","História do Pensamento Econômico",3
"5","Macroeconomia I",3
"6","Tópicos Especiais de Economia IV - Macroeconomia Keynesiana",3
"7","Economia Política Contemporânea",3
"1","HO-705 Economia Política I",4
"2","HO - 350 Introdução ao Estudo da China",4
"1","HO 112 - Macroeconomia",5
"2","HO 350 - Introdução ao Estudo da China",5
"1","Macroeconomia I",6
"2","Economia Política I",6
"3","Macroeconomia II",6
"4","História do Pensamento Econômico",6
"5","Economia Política II",6
"1","Teoria Econômica - Análise Microeconômica II",7
"2","Teoria Econômica - Análise Microeconômica I",7
"1","Economia Brasileira",8
