TITULO-DO-JORNAL-OU-REVISTA,ISSN,DATA-DE-PUBLICACAO,VOLUME,PAGINA-INICIAL,PAGINA-FINAL,LOCAL-DE-PUBLICACAO,TEXTO-EM-JORNAL-OU-REVISTA_Id
"Desafios do Desenvolvimento","18069363","29122011","70","75","75","Brasilia",0
"Revista Política Social e Desenvolvimento","23580690","20102015","","26","33","Brasilia",1
