PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"91",0
1,"157",0
2,"238",0
3,"241",0
4,"257",0
5,"314",0
6,"336",0
7,"355",0
8,"364",0
9,"365",0
10,"366",0
11,"367",0
12,"368",0
13,"369",0
14,"370",0
15,"407",0
16,"450",0
17,"454",0
18,"455",0
19,"469",0
20,"470",0
21,"472",0
22,"473",0
23,"475",0
24,"478",0
25,"482",0
26,"523",0
27,"371",0
