NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,FLAG-RELEVANCIA,DOI,TITULO-INGLES,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id
"Tese de doutorado","BANCOS, ?SHADOW BANKS? E MOEDA ENDÓGENA: DESAFIOS À POLÍTICA MONETÁRIA DO FEDERAL RESERVE NO SÉCULO XXI","2015","Brasil","Português","","NAO","","",0
"Tese de doutorado","A Economia Monetária de Keynes: a moeda e o sistema financeiro a serviço da produção ou a administração financeira estata","2016","Brasil","Português","","NAO","","",1
