NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-OFICINA_Id
"Modelling the World Economy - the Purpose and meterod (Francis Cripps & Mex Izurreta)","","","","","",0
"Semana da Economia - Instituto de Economia da Unicamp","","","","Campinas - SP","",1
"Oficina de Trabalho Bancos Públicos e o Financiamento do Desenvolvimento no Âmbito do Acordo de Basiléia II?","","","","Brasília - DF","",2
"Workshop New Concepts of Developmentalism","","","","Campinas","",3
