NATUREZA,TITULO,ANO,PAIS,MEIO-DE-DIVULGACAO,IDIOMA,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,NATUREZA-INGLES,FLAG-DIVULGACAO-CIENTIFICA,OUTRA-PRODUCAO-TECNICA_Id
"Parecer","Parecer para a Fapesp","2010","Brasil","NAO_INFORMADO","Português","","NAO","","","","NAO",0
"Parecer","Parecer para Faepex","2010","Brasil","NAO_INFORMADO","Português","","NAO","","","","NAO",1
"Parecer","Parecer ad hoc para a Fapesp","2011","Brasil","NAO_INFORMADO","Português","","NAO","","","","NAO",2
"Parecer ad hoc","Parecer ad hoc para a Fapesp","2012","Brasil","NAO_INFORMADO","Português","","NAO","","","","NAO",3
"Parecer","Parecer FAEPEX","2013","Brasil","NAO_INFORMADO","Português","","NAO","","","","NAO",4
"Parecer Faepex","Parece ad hoc Faepex","2014","Brasil","NAO_INFORMADO","Português","","NAO","","","","NAO",5
"Parecer Capes","Parecer Capes - Bolsas de Doutorado no Exterior","2014","Brasil","NAO_INFORMADO","Português","","NAO","","","","NAO",6
"Parecer PIBIC CNPq","Parecer projetos de Iniciação Científica","2014","Brasil","NAO_INFORMADO","Português","","NAO","","","","NAO",7
"Parecer","Parecer ad hoc para a FAPESP","2013","Brasil","NAO_INFORMADO","Português","","NAO","","","","NAO",8
