TRABALHO-TECNICO_Id,SEQUENCIA-PRODUCAO,PRODUCAO-TECNICA_Id
0,"25",0
1,"40",0
2,"48",0
3,"84",0
4,"210",0
5,"343",0
6,"354",0
7,"378",0
8,"405",0
9,"406",0
10,"411",0
11,"430",0
12,"458",0
13,"512",0
14,"377",0
