SEQUENCIA-FUNCAO-ATIVIDADE,FLAG-PERIODO,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,CODIGO-ORGAO,NOME-ORGAO,CODIGO-UNIDADE,NOME-UNIDADE,SERVICO-REALIZADO,ATIVIDADES-DE-SERVICO-TECNICO-ESPECIALIZADO_Id
"1","ANTERIOR","","1991","","1991","101801000992","Núcleo de Economia Agrícola","","","Avaliação do desempenho do setor primário no Rio Grande do Sul",0
"1","ANTERIOR","","1991","","1992","001701000994","Gabinete de Orçamento e Finanças","","","Elaboração da Lei de Diretrizes Orçamentárias - LDO e elaboração e execução do Orçamento do Estado. Assessoramento aos parlamentares na discussão do Orçamento",1
