FINALIDADE,INSTITUICAO-PROMOTORA,LOCAL,CIDADE,FINALIDADE-INGLES,OUTRA-PRODUCAO-TECNICA_Id
"","Fapesp","","São Paulo","",0
"","Faepex Unicamp","Unicamp","Campinas","",1
"","Fapesp","","","",2
"","FAPESP","","","",3
"","","","","",4
"","","","","",5
"","","","","",6
"","","","","",7
"","","","","",8
