NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-CONGRESSO_Id
"XVIII Congresso de Iniciação Científica","","","","Campinas","",0
"XXII Encontro Nacional de Economia","","","","","",1
"XXV Congresso da Associação Nacional dos Cursos de Graduação em Economia","","","","Campinas","",2
"10 th Anniversary Conference of the Association for Heterodox Economics","","","","Londres","",3
"31 CONGRESSO DA ANGE","","","","CAMPINAS","",4
"XV Congresso Interno de Iniciação Científica","","","","Campinas - SP","",5
"Primeiras Jornadas de História Regional Comparada","","","","Porto Alegre - RS","",6
"XVII Congresso Interno de Iniciação Científica - Unicamp","","","","Campinas","",7
"XX Congresso Interno de Iniciação Científica da Unicamp","","","","Campinas","",8
"XVI Congresso Interno de Iniciação Científica","","","","Campinas - SP","",9
"Segundas Jornadas de Historia Econômica","","","","Montevidéu","",10
"XIX Congresso Interno de Iniciação Científica da Unicamp","","","","Campinas","",11
"The Eighth Annual Conference of the Association for Heterodox Economics","","","","Londres","",12
"31 CONGRESSO DA ANGE","","","","Campinas","",13
"XXI Congresso Interno de Iniciação Científica PIBIC/Unicamp","","","","Campinas","",14
