SEQUENCIA-LINHA,TITULO-DA-LINHA-DE-PESQUISA,FLAG-LINHA-DE-PESQUISA-ATIVA,OBJETIVOS-LINHA-DE-PESQUISA,TITULO-DA-LINHA-DE-PESQUISA-INGLES,OBJETIVOS-LINHA-DE-PESQUISA-INGLES,PESQUISA-E-DESENVOLVIMENTO_Id
"1","Economia Brasileira e Economia Bancária","SIM","","","",0
"2","Economia Internacional, Economia Monetária e Economia Financeira","SIM","","","",0
"1","Economia Política","NAO","","","",1
