NATUREZA,TITULO-DO-TRABALHO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-DO-TRABALHO-INGLES,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Tese de doutorado","Pleno Emprego na Periferia: uma reflexão sobre as possibilidades e limitações","2016","Brasil","Português","","","",0
"Tese de doutorado","Integração Monetária na Zona do Euro: limites do arranjo regulatório na União Europeia e eficácia das políticas do Banco Central Europeu nos período 1992-2012","2014","Brasil","Português","","","",1
"Tese de doutorado","O Estado Financeirizado no Capitalismo Contemporâneo","2014","Brasil","Português","","","",2
