OUTRA-PRODUCAO-TECNICA_Id,SEQUENCIA-PRODUCAO,DEMAIS-TIPOS-DE-PRODUCAO-TECNICA_Id
0,"247",0
1,"278",0
2,"279",0
3,"337",0
4,"412",0
5,"439",0
6,"440",0
7,"441",0
8,"413",0
