NATUREZA,TITULO,ANO,PAIS,IDIOMA,FLAG-RELEVANCIA,DOI,TITULO-INGLES,HOME-PAGE,MEIO-DE-DIVULGACAO,FLAG-DIVULGACAO-CIENTIFICA,PROGRAMA-DE-RADIO-OU-TV_Id
"ENTREVISTA","Governo e mercado têm opiniões opostas para crescimento da economia","2012","Brasil","Português","NAO","","","http://www.jb.com.br/economia/noticias/2012/10/17/governo-e-mercado-tem-opinioes-opostas-para-crescimento-da-economia/","NAO_INFORMADO","NAO",0
"ENTREVISTA","Ata do Copom - Inflação e Política monetária","2013","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",1
"ENTREVISTA","Brasil deve cair para 7 economia.","2012","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",2
"ENTREVISTA","União amplia possibilidades de crédito público para empresas estrangeiras","2017","Brasil","Português","NAO","","","http://www.valor.com.br/brasil/4845408/uniao-amplia-possibilidades-de-credito-publico-para-empresas-estrangeiras","NAO_INFORMADO","NAO",3
"ENTREVISTA","Fed em busca de mais credibilidade","2011","Brasil","Português","NAO","","","http://www.valor.com.br/valor-investe/casa-das-caldeiras/1088878/fed-em-busca-de-mais-credibilidade","NAO_INFORMADO","NAO",4
"ENTREVISTA","BNDES será instrumento para privatizações","2016","Brasil","Português","NAO","","","http://www.spbancarios.com.br/Noticias.aspx?id=15128","NAO_INFORMADO","NAO",5
"ENTREVISTA","Inadimplência entre os jovens","2006","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",6
"ENTREVISTA","PIB, infraestrutura e câmbio são chave para o crescimento.","2012","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",7
