NATUREZA,TITULO-DO-TRABALHO-TECNICO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-TRABALHO-TECNICO-INGLES,TRABALHO-TECNICO_Id
"ASSESSORIA","Assessora ad-hoc da Fundação de Amparo à Pesquisa Científica do Estado de São Paulo - FAPESP no período - julho/2002 e outubro/2002","2002","Brasil","Português","NAO_INFORMADO","","NAO","","",0
"PARECER","Membro do Conselho Editorial da Revista de Economia Política","2003","Brasil","Português","IMPRESSO","","NAO","","",1
"OUTRA","Membro da Equipe Técnica do Anuário Estatístico do Estado de São Paulo de 1996","1997","Brasil","Português","NAO_INFORMADO","","NAO","","",2
"ASSESSORIA","Assessora ad-hoc da Fundação de Amparo à Pesquisa Científica do Estado de São Paulo - FAPESP de 2006 a 2013","2013","Brasil","Português","NAO_INFORMADO","","NAO","","",3
"OUTRA","Membro da Comissão Científica do II Encontro Internacional da Associação Keynesiana Brasileira","2009","Brasil","Português","NAO_INFORMADO","","NAO","","",4
"OUTRA","Membro da Comissão Científica da ANPEC","2012","Brasil","Português","NAO_INFORMADO","","NAO","","",5
"CONSULTORIA","Participação no Comitê Qualis/CAPES","2012","Brasil","Português","NAO_INFORMADO","","NAO","","",6
"ASSESSORIA","Membro do Conselho Curador da Fundap 2011 e 2012","2012","Brasil","Português","NAO_INFORMADO","","NAO","","",7
"CONSULTORIA","Membro da Associação Keynesiana Brasileira desde 2008","2013","Brasil","Português","NAO_INFORMADO","","NAO","","",8
"CONSULTORIA","Membro da Sociedade Brasileira de Economia Política - SEP desde 2002","2013","Brasil","Português","NAO_INFORMADO","","NAO","","",9
"ASSESSORIA","Assessoria ad hoc FAEPEX","2013","Brasil","Português","NAO_INFORMADO","","NAO","","",10
"ASSESSORIA","Assessoria Faepex","2014","Brasil","Português","NAO_INFORMADO","","NAO","","",11
"ASSESSORIA","Assessoria ad hoc FAEPEX","2015","Brasil","Português","NAO_INFORMADO","","NAO","","",12
"OUTRA","Membro da Comissão Científica do IX Encontro Internacional da Associação Keynesiana Brasileira","2016","Brasil","Português","NAO_INFORMADO","","NAO","","",13
"CONSULTORIA","Consultora ad-hoc da Pró-Reitoria de Pesquisa da Unicamp para análise dos projetos submetidos para Bolsas de Iniciação Científica - Programas PIBIC-CNPq e e Bolsas de Pesquisa Unicamp de 2005 a 2013","2013","Brasil","Português","NAO_INFORMADO","","NAO","","",14
