PARTICIPACAO-EM-ENCONTRO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-EVENTOS-CONGRESSOS_Id
0,"357",0
1,"358",0
2,"294",0
3,"222",0
4,"15",0
5,"356",0
6,"221",0
7,"225",0
8,"14",0
9,"148",0
10,"485",0
11,"20",0
12,"209",0
13,"486",0
