EMISSORA,TEMA,DATA-DA-APRESENTACAO,DURACAO-EM-MINUTOS,CIDADE,PROGRAMA-DE-RADIO-OU-TV_Id
"Jornal do Brasil","Economia","17102012","","",0
"Rádio Estadão","","14032013","","",1
"O Globo","","31082012","","",2
"Jornal Valor Econômico","Bancos públicos, sistmas públicos de financiamento","24012017","","",3
"ValorInveste","Politica Monetária","09112011","","",4
"Revista do Sindicato dos Bancários de São Paulo","Bancos Públicos - BNDES","10062016","","",5
"EPTV-GLOBO","Inadimplência entre os jovens","","0","Campinas",6
"Jornal do Brasil","","31082012","","",7
