PARTICIPACAO-EM-PROJETO_Id,SEQUENCIA-FUNCAO-ATIVIDADE,FLAG-PERIODO,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,CODIGO-ORGAO,NOME-ORGAO,CODIGO-UNIDADE,NOME-UNIDADE,ATIVIDADES-DE-PARTICIPACAO-EM-PROJETO_Id
0,"3","ANTERIOR","8","1990","1","1991","101800000000","Fundação de Economia e Estatística","","",0
1,"2","ANTERIOR","","1997","","1998","000400000997","Fundação Seade Sistema Estadual de Análise de Dados","","",1
2,"10","ANTERIOR","03","2007","03","2008","007937000008","Instituto de Economia","","",2
3,"13","ANTERIOR","","2008","","2008","007937000008","Instituto de Economia","","",2
4,"14","ANTERIOR","05","2008","","2009","007937000008","Instituto de Economia","007937001993","Centro de Estudos de Relações Econômicas Internacionais",2
5,"15","ANTERIOR","","2009","","2009","007937000008","Instituto de Economia","007937001993","Centro de Estudos de Relações Econômicas Internacionais",2
6,"17","ANTERIOR","","2010","","2011","007937000008","Instituto de Economia","007937001993","Centro de Estudos de Relações Econômicas Internacionais",2
7,"21","ATUAL","","2011","","","007937000008","Instituto de Economia","","",2
8,"29","ATUAL","","2015","","","007937000008","Instituto de Economia","","",2
9,"11","ANTERIOR","","2005","","2006","007937000008","Instituto de Economia","007937001993","Centro de Estudos de Relações Econômicas Internacionais",2
10,"1","ANTERIOR","3","1988","8","1989","019208000004","Faculdade de Ciências Econômicas","019208005006","Centro de Estudos e Pesquisas Econômicas",3
11,"20","ANTERIOR","","2010","","2012","066301000991","DICOD","","",4
12,"26","ANTERIOR","","2012","","2013","985601000990","CGEE","","",5
13,"27","ANTERIOR","","2013","","2017","002301000995","FEPS","","",6
14,"28","ATUAL","","2014","","","702501000993","Levy Economics Institute - Bard College","","",7
