PARTICIPACAO-EM-CONGRESSO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-EVENTOS-CONGRESSOS_Id
0,"284",0
1,"524",0
2,"283",0
3,"156",0
4,"508",0
5,"161",0
6,"127",0
7,"223",0
8,"386",0
9,"160",0
10,"126",0
11,"312",0
12,"81",0
13,"509",0
14,"423",0
