SEQUENCIA-PRODUCAO-CT,TITULO-DA-PRODUCAO-CT,TIPO-PRODUCAO-CT,TITULO-DA-PRODUCAO-CT-INGLES,PRODUCOES-CT-DO-PROJETO_Id
"21","Reflexões sobre o financiamento na economia brasileira","Artigo publicado em periódicos(Completo)","",0
"134","Reflexões sobre o financiamento na economia brasileira","Trabalho publicado em anais de eventos(Completo)","",0
"136","Pesquisa da atividade econômica paulista: uma metodologia de produção de dados e de conhecimento. Co-autoria com a equipe técnica da PAEP","Outra produção bibliográfica","",0
"104","Fundos Constitucionais de Financiamento (FCO, FNO e FNE): análise Crítica, Avaliação da Situação e Diretrizes.","Outra produção bibliográfica","",1
"124","A trajetória do Banco do Brasil no período recente (2001-2006): banco público ou banco estatal "privado"?","Outra produção bibliográfica","",1
"154","The Bank of Brazil: the path since the mid-90s","Trabalho publicado em anais de eventos(Completo)","",1
"193","A trajetória do Banco do Brasil no período recente, 2001-2006: banco público ou banco estatal 'privado'?","Artigo publicado em periódicos(Completo)","A trajetória do Banco do Brasil no período recente, 2001-2006: banco público ou banco estatal "privado"?",1
"266","Uma Proposta de Delimitação Conceitual de Bancos públicos","Capítulo de livro publicado","",1
"410","O papel dos bancos públicos e a experiência brasileira recente","Capítulo de livro publicado","",1
"198","Perspectivas do Investimento na Dimensão do Mercosul e da América Latina","Outra produção bibliográfica","",2
"288","Cooperação financeira no Mercosul: um passo imprescindível para o fortalecimento da integração","Outra produção bibliográfica","",2
"296","Cooperação Financeira no Mercosul e o Financiamento do Investimento","Trabalho publicado em anais de eventos(Completo)","",2
"299","Cooperação financeira no Mercosul e o financiamento do investimento","Artigo publicado em periódicos(Completo)","Cooperação financeira no Mercosul e o financiamento do investimento",2
"319","Cooperação Financeira no Mercosul","Revista(Magazine)","",2
"323","Programa Diálogo sem Fronteira - Tema: América do Sul e cooperação financeira","Outra produção bibliográfica","",2
"331","A Importância de Instituições Financeiras Regionais para o Fortalecimento da Integração Econômica entre os Países do Mercosul","Artigo publicado em periódicos(Completo)","",2
"408","Integração regional e convergência econômica real: lições da experiência europeia","Artigo publicado em periódicos(Completo)","",2
"349","Federal Public Banks in Brazil: historical overview and role in the recent crisis","Outra produção bibliográfica","",3
"350","Facing the crisis: Brazilian Central Bank and Public Banking System as Minskyan Big Banks","Trabalho publicado em anais de eventos(Completo)","",3
"410","O papel dos bancos públicos e a experiência brasileira recente","Capítulo de livro publicado","",3
"362","Formação e internacionalização de grandes grupos empresariais: experiências selecionadas da União Europeia","Capítulo de livro publicado","",4
"363","Formação e internacionalização de grandes empresas: experiências internacionais selecionadas","Organização de obra publicada","",4
"381","Apresentação","Capítulo de livro publicado","",4
"483","Há fragilidade financeira no mercado de crédito no Brasil? Uma contribuição para a discussão a partir da análise do segmento de crédito imobiliário","Outra produção bibliográfica","",5
"72","O Novo Acordo de Basiléia nos Estados Unidos","Capítulo de livro publicado","",6
"121","O Novo Acordo de Capital da Basiléia nos Estados Unidos","Outra produção bibliográfica","",6
"155","Basel Agreement and Minsky?s Financial Instability Hypothesis","Trabalho publicado em anais de eventos(Completo)","",6
"372","Crises in the financial regulation of finance-led capitalism: a Minskyan analysis","Artigo publicado em periódicos(Completo)","",6
"321","A regulação do sistema financeiro após a crise","Outra produção bibliográfica","",7
"352","A Regulação do Sistema Financeiro Após a Crise","Capítulo de livro publicado","",7
"399","A contemporaneidade de Minsky","Capítulo de livro publicado","",7
"401","Sistema bancário chinês: evolução e internacionalização recente","Outra produção bibliográfica","",7
"425","Chinese Banking System: Recent Evolution and Internationalization","Participações em eventos(Seminário)","",7
"400","Tendências dos sistemas financeiros após a crise e a possibilidade de política financeira para a economia brasileira","Outra produção bibliográfica","",8
"409","Transformações nos sistemas bancários após a crise e impactos na regulação","Trabalho publicado em anais de eventos(Completo)","",8
"432","Tendências dos sistemas financeiros após a crise e possibilidades de política financeira para a economia brasileira","Capítulo de livro publicado","",8
"424","Federal Public Banks in Brazil: Historical Overview and Role in the Recent Crisis","Participações em eventos(Outra)","",9
"426","Federal Public Banks in Brazil: historical overview and role in the recent crisis","Trabalho publicado em anais de eventos(Completo)","",9
"427","Federal Public Banks in Brazil: an overview","Apresentação de trabalho(Seminário)","",9
