NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-OFICINA_Id
"Oficina","","2006","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",0
"Oficina","Mini-curso: Inovação e Concorrência: Um Olhar Sobre o Movimento Recente do Sistema Bancário Brasileiro","2008","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",1
"Oficina","","2005","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",2
"Oficina","The role of Braziian public banks facing inequality","2015","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",3
