PARTICIPACAO-EM-SEMINARIO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-EVENTOS-CONGRESSOS_Id
0,"291",0
1,"61",0
2,"185",0
3,"159",0
4,"383",0
5,"390",0
6,"255",0
7,"44",0
8,"85",0
9,"249",0
10,"346",0
11,"507",0
12,"425",0
13,"52",0
14,"459",0
15,"384",0
16,"243",0
17,"128",0
18,"451",0
19,"60",0
20,"180",0
21,"385",0
22,"182",0
23,"468",0
