PROGRAMA-DE-RADIO-OU-TV_Id,SEQUENCIA-PRODUCAO,DEMAIS-TIPOS-DE-PRODUCAO-TECNICA_Id
0,"382",0
1,"394",0
2,"465",0
3,"501",0
4,"502",0
5,"503",0
6,"69",0
7,"464",0
