PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"41",0
1,"62",0
2,"153",0
3,"172",0
4,"240",0
5,"242",0
6,"252",0
7,"293",0
8,"307",0
9,"313",0
10,"353",0
11,"389",0
12,"418",0
13,"419",0
14,"446",0
15,"488",0
16,"489",0
17,"491",0
18,"522",0
