PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"35",0
1,"142",0
2,"212",0
3,"227",0
4,"245",0
5,"251",0
6,"281",0
7,"282",0
8,"311",0
9,"315",0
10,"317",0
11,"339",0
12,"342",0
13,"397",0
14,"398",0
15,"442",0
16,"443",0
17,"444",0
18,"445",0
19,"474",0
20,"515",0
21,"518",0
22,"521",0
23,"318",0
