CLASSIFICACAO-DO-EVENTO,NOME-DO-EVENTO,CIDADE-DO-EVENTO,ANO-DE-REALIZACAO,TITULO-DOS-ANAIS-OU-PROCEEDINGS,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,ISBN,NOME-DA-EDITORA,CIDADE-DA-EDITORA,NOME-DO-EVENTO-INGLES,TRABALHO-EM-EVENTOS_Id
"NACIONAL","X Encontro Nacional de Economia Política Sociedade Brasileira de Economia Política (SEP)","Campinas-SP","2005","Anais do X Encontro Nacional de Economia Política Sociedade Brasileira de Economia Política (SEP)","","","","","","","SEP","São Paulo","",0
"INTERNACIONAL","Proceedings of The Eighth Annual Conference of the Association for Heterodox Economics","Londres","2006","Proceeding of The Eighth Annual Conference of the Association for Heterodox Economics","","","","","","","","","",1
"NAO_INFORMADO","Primeiras Jornadas de História Regional Comparada","Porto Alegre","2000","Anais das Primeiras Jornadas de História Regional Comparada","","","","","","","","Porto Alegre","",2
"INTERNACIONAL","Proceedings of the 10th Anniversary Conference of the Association","Londres","2008","The Bank of Brazil: the path since the mid-90s","","","","","","","","","",3
"INTERNACIONAL","Proceedings of the 10th International Post Keynesian Conference","Kansas City","2008","Basel Agreement and Minsky?s Financial Instability Hypothesis","","","","","","","","","",4
"INTERNACIONAL","11th Conference of the Association for Heterodox Economics","Londres","2009","Poceedings of the 11th Conference of the Association for Heterodox Economics","","","","","","","","","",5
"INTERNACIONAL","6th International Conference","Bilbao","2009","Proceedings of 6th International Conference","","","","","","","","","",6
"INTERNACIONAL","6th International Conference "Developments in Economic Theory and Policy"","Bilbao","2009","Proceedings of 6th International Conference "Developments in Economic Theory and Policy"","","","","","","","","","",7
"NACIONAL","XIV Encontro Nacional de Economia Política","São Paulo","2009","Anais do XIV Encontro Nacional de Economia Política","","","","","","","","","",8
"INTERNACIONAL","7th International Conference Developments in Economic Theory and Policy","Bilbao","2010","Proceedings of 7th International Conference Developments in Economic Theory and Policy","","","","","","","","","",9
"INTERNACIONAL","The Economy of Tomorrow (12th Annual conference of the AHE)","Bordeaux","2010","Proceedings of 12th Annual conference of the AHE","","","","","","","","","",10
"INTERNACIONAL","III Encontro Internacional da Associação Keynesiana Brasileira","São Paulo","2010","Anais do III Encontro Internacional da Associação Keynesiana Brasileira","","","","","","","","","",11
"NACIONAL","XVI Encontro Nacional de Economia Política","Uberlândia","2011","Anais do XVI Encontro Nacional de Economia Política","","","","","","","","","",12
"INTERNACIONAL","II Encontro Internacional da Associação Keynesiana Brasileira","Porto Alegre","2009","Anais do II Encontro Internacional da Associação Keynesiana Brasileira","","","","","","","","","",13
"INTERNACIONAL","II Encontro Internacional da Associação Keynesiana Brasileira","Porto Alegre","2009","Anais do II Encontro Internacional da Associação Keynesiana Brasileira","","","","","","","","","",14
"INTERNACIONAL","V Coloquio Latinoamericano de Economistas Políticos en México","Cidade do México","2005","Anais do V Coloquio Latinoamericano de Economistas Políticos en México (UNAM)","","","","","","","","","",15
"INTERNACIONAL","Joint Conference AHE, IIPPE, FAPE","Paris","2012","Annals of Joint Conference AHE, IIPPE, FAPE","","","","","","","","","",16
"NACIONAL","XVII Encontro nacional de Economia Política","Rio de Janeiro","2012","Anais do XVII Encontro Nacional de Economia Política - ENEP/SEP","","","","","","","","","",17
"INTERNACIONAL","Segundas Jornadas de História Econômica","Montevideu","","Anais das Segundas Jornadas de História Econômica","","","","","","","","","",18
"INTERNACIONAL","V Encontro Internacional da Associação Keynesiana Brasileira","São Paulo","2012","Anais do V Encontro Internacional da Associação Keynesiana Brasileira","","","","","","","","","",19
"INTERNACIONAL","VI Encontro da Associação Keynesiana Brasileira","Vitória","2013","Anais do VI Encontro Internacional da AKB","","","","","","","","","",20
"INTERNACIONAL","17th Conference of the Research Network 'Macroeconomics and Macroeconomic Policies' (FMM)","Berlim","2013","The Jobs Crisis: causes, cures, constraints","","","","","","","","","",21
"NACIONAL","XX Encontro Nacional de Economia Política","Foz do Iguaçu","2015","Anais do XX Encontro Nacional de Economia Política","","","","","","","","","",22
"INTERNACIONAL","17th Conference of the Research Network 'Macroeconomics and Macroeconomic Policies' (FMM)","Berlim","2013","The Jobs Crisis: causes, cures, constraintshe Jobs Crisis: causes, cures, constraints","","","","","","","","","",23
"INTERNACIONAL","VIII Encontro Internacional da Associação Keynesiana Brasileira","Uberlândia","2015","Anais do VIII Encontro Internacional da Associação Keynesiana Brasileira","","","","","","","","","",24
"NACIONAL","XLIII Encontro Nacional de Economia","Florianópolis","2015","Anais do XLIII Encontro Nacional de Economia","","","","","","","","","",25
"NACIONAL","XXI Encontro Nacional de Economia Política","São Bernardo","2016","Anais do XXI Encontro Nacional de Economia Política","","","","","","","","","",26
"NACIONAL","XXII Encontro Nacional de Economia Política","Campinas","2017","Anais do XXII Encontro Nacional de Economia Política","","","","","","","","","",27
"NACIONAL","XXII Encontro Nacional de Economia Política","Campinas","2017","Anais do XXII Encontro Nacional de Economia Política","","","","","","","","","",28
