CAPITULO-DE-LIVRO-PUBLICADO_Id,SEQUENCIA-PRODUCAO,CAPITULOS-DE-LIVROS-PUBLICADOS_Id
0,"72",0
1,"228",0
2,"233",0
3,"266",0
4,"267",0
5,"306",0
6,"352",0
7,"359",0
8,"362",0
9,"381",0
10,"391",0
11,"392",0
12,"399",0
13,"410",0
14,"432",0
15,"476",0
16,"514",0
17,"393",0
