INSTITUICAO-PROMOTORA,DURACAO-EM-SEMANAS,FLAG-EVENTO-ITINERANTE,FLAG-CATALOGO,LOCAL,CIDADE,ORGANIZACAO-DE-EVENTO_Id
"Instituto de Economia","0","N","","Hotel Hotel Quality Suítes Lakeside","Brasília",0
"Instituto de Economia da Unicamp","","N","","Instituto de Economia da Unicamp","Campinas",1
"Instituto de Economia da Unicamp","","N","","Instituto de Economia da Unicamp","Campinas - SP",2
"IE/Unicamp e Fundap","","N","","Instituto de Economia da Unicamp","Campinas",3
"Instituto de Economia da Unicamp","","N","","Instituto de Economia da Unicamp","Campinas",4
"Centro de Estudos de Relações Econômicas Internacionais (CERI) - Instituto de Economia (IE)- Unicamp","","N","","Instituto de Economia Unicamp","Campinas",5
"Instituto de Economia - Programa de Pós Graduaçao em Eocnomia, PENSES. Unicamp","","N","","Instituto de Economia","Campinas",6
