NOME,DESCRICAO,PROFICIENCIA_DE_LEITURA,PROFICIENCIA_DE_FALA,PROFICIENCIA_DE_ESCRITA,PROFICIENCIA_DE_COMPREENSAO
EN,Inglês,BEM,BEM,BEM,BEM
DE,Alemão,BEM,BEM,RAZOAVELMENTE,BEM
ES,Espanhol,BEM,RAZOAVELMENTE,POUCO,BEM
PT,Português,BEM,BEM,BEM,BEM
