NOME_COMPLETO,NOME_PARA_CITACAO,FLAG_RESPONSAVEL,PROJETO_NOME
Leticia Rittner,"RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L",NAO,Segmentação de objetos via Transformada Watershed
Roberto de Alencar Lotufo,"LOTUFO, R.",SIM,Segmentação de objetos via Transformada Watershed
Franklin César flores,"FLORES, F. C.",NAO,Segmentação de objetos via Transformada Watershed
Rubens Campos Machado,"MACHADO, R C",NAO,Segmentação de objetos via Transformada Watershed
Leticia Rittner,"RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L",NAO,Plataforma colaborativa para processamento de imagens médicas baseada no ambiente Adessowiki;
Roberto de Alencar Lotufo,"LOTUFO, R.",SIM,Plataforma colaborativa para processamento de imagens médicas baseada no ambiente Adessowiki;
Rubens Campos Machado,"MACHADO, R C",NAO,Plataforma colaborativa para processamento de imagens médicas baseada no ambiente Adessowiki;
Leticia Rittner,"RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L",NAO,"Programas de Inovação Tecnológica / CEPID - Centros de Pesquisa, Inovação e Difusão - Edital 2011 CEPID: Instituto Brasileiro de Neurociência e Neurotecnologia (Brazilian Institute of Neuroscience and Neurotechnology) - BRAINN FAPESP processo 201307559-3"
Fernando Cendes,"CENDES, F.",SIM,"Programas de Inovação Tecnológica / CEPID - Centros de Pesquisa, Inovação e Difusão - Edital 2011 CEPID: Instituto Brasileiro de Neurociência e Neurotecnologia (Brazilian Institute of Neuroscience and Neurotechnology) - BRAINN FAPESP processo 201307559-3"
Roberto de Alencar Lotufo,"LOTUFO, R. A.",NAO,"Programas de Inovação Tecnológica / CEPID - Centros de Pesquisa, Inovação e Difusão - Edital 2011 CEPID: Instituto Brasileiro de Neurociência e Neurotecnologia (Brazilian Institute of Neuroscience and Neurotechnology) - BRAINN FAPESP processo 201307559-3"
Luiz E G G Betting,"BETTING, L.E.G.G.",NAO,"Programas de Inovação Tecnológica / CEPID - Centros de Pesquisa, Inovação e Difusão - Edital 2011 CEPID: Instituto Brasileiro de Neurociência e Neurotecnologia (Brazilian Institute of Neuroscience and Neurotechnology) - BRAINN FAPESP processo 201307559-3"
Clarissa Lin Yasuda,"YASUDA, C.L.",NAO,"Programas de Inovação Tecnológica / CEPID - Centros de Pesquisa, Inovação e Difusão - Edital 2011 CEPID: Instituto Brasileiro de Neurociência e Neurotecnologia (Brazilian Institute of Neuroscience and Neurotechnology) - BRAINN FAPESP processo 201307559-3"
Anelyssa Cysne Frota D'Abreu,"D'ABREU, A.C.F.",NAO,"Programas de Inovação Tecnológica / CEPID - Centros de Pesquisa, Inovação e Difusão - Edital 2011 CEPID: Instituto Brasileiro de Neurociência e Neurotecnologia (Brazilian Institute of Neuroscience and Neurotechnology) - BRAINN FAPESP processo 201307559-3"
Iscia Teresinha Lopes Cendes,"CENDES, I.T.L.",NAO,"Programas de Inovação Tecnológica / CEPID - Centros de Pesquisa, Inovação e Difusão - Edital 2011 CEPID: Instituto Brasileiro de Neurociência e Neurotecnologia (Brazilian Institute of Neuroscience and Neurotechnology) - BRAINN FAPESP processo 201307559-3"
Li Li Min,"MIN, L.L.",NAO,"Programas de Inovação Tecnológica / CEPID - Centros de Pesquisa, Inovação e Difusão - Edital 2011 CEPID: Instituto Brasileiro de Neurociência e Neurotecnologia (Brazilian Institute of Neuroscience and Neurotechnology) - BRAINN FAPESP processo 201307559-3"
Roberto Covolan Jr.,"COVOLAN JR., R.",NAO,"Programas de Inovação Tecnológica / CEPID - Centros de Pesquisa, Inovação e Difusão - Edital 2011 CEPID: Instituto Brasileiro de Neurociência e Neurotecnologia (Brazilian Institute of Neuroscience and Neurotechnology) - BRAINN FAPESP processo 201307559-3"
Eleri Cardozo,"CARDOZO, E.",NAO,"Programas de Inovação Tecnológica / CEPID - Centros de Pesquisa, Inovação e Difusão - Edital 2011 CEPID: Instituto Brasileiro de Neurociência e Neurotecnologia (Brazilian Institute of Neuroscience and Neurotechnology) - BRAINN FAPESP processo 201307559-3"
Ricardo Ribeiro Gudwin,"GUDWIN, R.R.",NAO,"Programas de Inovação Tecnológica / CEPID - Centros de Pesquisa, Inovação e Difusão - Edital 2011 CEPID: Instituto Brasileiro de Neurociência e Neurotecnologia (Brazilian Institute of Neuroscience and Neurotechnology) - BRAINN FAPESP processo 201307559-3"
Fernando José Von Zuben,"VON ZUBEN, F.J.",NAO,"Programas de Inovação Tecnológica / CEPID - Centros de Pesquisa, Inovação e Difusão - Edital 2011 CEPID: Instituto Brasileiro de Neurociência e Neurotecnologia (Brazilian Institute of Neuroscience and Neurotechnology) - BRAINN FAPESP processo 201307559-3"
Ricardo Suyama,"SUYAMA, R.",NAO,"Programas de Inovação Tecnológica / CEPID - Centros de Pesquisa, Inovação e Difusão - Edital 2011 CEPID: Instituto Brasileiro de Neurociência e Neurotecnologia (Brazilian Institute of Neuroscience and Neurotechnology) - BRAINN FAPESP processo 201307559-3"
Romis Ribeiro de Faissol Attux,"ATTUX, R.R.F.",NAO,"Programas de Inovação Tecnológica / CEPID - Centros de Pesquisa, Inovação e Difusão - Edital 2011 CEPID: Instituto Brasileiro de Neurociência e Neurotecnologia (Brazilian Institute of Neuroscience and Neurotechnology) - BRAINN FAPESP processo 201307559-3"
Leticia Rittner,"RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L",NAO,Segmentação de imagens de tensores de difusão no contexto da morfologia matemática
Roberto de Alencar Lotufo,"LOTUFO, R. A.",SIM,Segmentação de imagens de tensores de difusão no contexto da morfologia matemática
Leticia Rittner,"RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L",NAO,Métodos computacionais para análise de estruturas e tecidos cerebrais através de imagens multimodais
Fernando Cendes,"CENDES, F.",NAO,Métodos computacionais para análise de estruturas e tecidos cerebrais através de imagens multimodais
