NOME,TIPO_ENSINO,NOME_CURSO,NOME_INSTITUICAO,FLAG_PERIODO,MES_INICIO,ANO_INICIO,MES_FIM,ANO_FIM
CE - 912 - Política e Planejamento Econômico I,GRADUACAO,Economia,Universidade Estadual de Campinas,ATUAL,9,2004,NULL,NULL
CE - 623 - Sistema Monetário Internacional,GRADUACAO,Economia,Universidade Estadual de Campinas,ATUAL,9,2004,NULL,NULL
CE-381 - Economia Internacional I,GRADUACAO,Economia,Universidade Estadual de Campinas,ATUAL,9,2004,NULL,NULL
CE-671 - Economia Monetária,GRADUACAO,Economia,Universidade Estadual de Campinas,ATUAL,9,2004,NULL,NULL
CE-712 - Teoria Monetária e Financeira,GRADUACAO,Economia,Universidade Estadual de Campinas,ATUAL,9,2004,NULL,NULL
ECO-0201 - Economia Monetária,ESPECIALIZACAO,Economia Monetária,Universidade Estadual de Campinas,ANTERIOR,10,2003,12,2003
ECO-0201 Economia Monetária,ESPECIALIZACAO,Economia Monetária,Universidade Estadual de Campinas,ANTERIOR,7,2004,9,2004
ECO-0201 Economia Monetária,ESPECIALIZACAO,Economia Monetária,Universidade Estadual de Campinas,ANTERIOR,10,2004,12,2004
Eco-0201 Economia Monetária,ESPECIALIZACAO,Economia Monetária,Universidade Estadual de Campinas,ANTERIOR,4,2008,6,2008
ECO-0201 Economia Monetária,ESPECIALIZACAO,Economia Monetária,Universidade Estadual de Campinas,ANTERIOR,10,2008,12,2008
ECO-0209 Mercado de Capitais I: Ações,ESPECIALIZACAO,Mercado de Capitais I: Ações,Universidade Estadual de Campinas,ANTERIOR,10,2007,12,2007
ECO-0209 Mercado de Capitais I: Ações,ESPECIALIZACAO,Mercado de Capitais I: Ações,Universidade Estadual de Campinas,ANTERIOR,5,2010,7,2010
ECO-0212 Mercado de Capitais II:Derivativos,ESPECIALIZACAO,Mercado de Capitais II: Derivativos,Universidade Estadual de Campinas,ANTERIOR,2,2004,4,2004
ECO-0212 Mercado de Capitais II: Derivativos,ESPECIALIZACAO,Mercado de Capitais II: Derivativos,Universidade Estadual de Campinas,ANTERIOR,2,2007,4,2007
ECO-0212 Mercado de Capitais II: Derivativos,ESPECIALIZACAO,Mercado de Capitais II: Derivativos,Universidade Estadual de Campinas,ANTERIOR,4,2007,7,2007
CE 671 Economia Monetária,GRADUACAO,Ciências Econômicas,Universidade Estadual de Campinas,ANTERIOR,03,2012,06,2015
CE 725 Monografia I,GRADUACAO,Ciências Econômicas,Universidade Estadual de Campinas,ANTERIOR,03,2015,06,2015
CE 825 Monografia II,GRADUACAO,Ciências Econômicas,Universidade Estadual de Campinas,ANTERIOR,03,2015,06,2015
CE 623 Sistema Monetário Internacional,GRADUACAO,Ciências Econômicas,Universidade Estadual de Campinas,ANTERIOR,08,2012,11,2013
HO 212 Economia Monetária e Financeira,POS-GRADUACAO,Ciência Econômica,Universidade Estadual de Campinas,ANTERIOR,03,2012,06,2012
HO 214 Desenvolvimento Capitalista no Brasil,POS-GRADUACAO,Ciência Econômica,Universidade Estadual de Campinas,ANTERIOR,03,2013,06,2013
HO 450 Tópicos Especiais de Teoria Econômica,POS-GRADUACAO,Ciência Econômica,Universidade Estadual de Campinas,ANTERIOR,03,2012,06,2015
HO 601 Economia Internacional,POS-GRADUACAO,Ciência Econômica,Universidade Estadual de Campinas,ANTERIOR,03,2012,06,2015
CE 723 Economia Financeira,GRADUACAO,Ciências Econômicas,Universidade Estadual de Campinas,ANTERIOR,08,2013,11,2014
