NOME_INSTITUICAO
Banco Auxiliar
Banco Bmg
Banco Citibank
Banco Safra
Ecole Nationale Superieure Des Telecommunications
Editora Afrique Asie
Fundação Getulio Vargas - SP
Institut National de La Recherche Agronomique
Universidade Estadual de Campinas
Economia e Sociedade (UNICAMP. Impresso)
Instituto de Pesquisa Econômica Aplicada - DF
Análise Econômica (UFRGS)
