NOME_COMPLETO,NOME_PARA_CITACAO,FLAG_RESPONSAVEL,PROJETO_NOME
Maryse Farhi,"FARHI, Maryse;FARHI, MARYSE",NAO,Análise da Economia Internacional da Conjuntura Macroeconômica Nacional e Cenários de Curto Prazo da Economia Brasileira
Ricardo de Medeiros Carneiro,"CARNEIRO, Ricardo de Medeiros",SIM,Análise da Economia Internacional da Conjuntura Macroeconômica Nacional e Cenários de Curto Prazo da Economia Brasileira
Maryse Farhi,"FARHI, Maryse;FARHI, MARYSE",SIM,1) Derivativos Financeiros no Brasil da estabilização monetária à crise cambial; 2) Novos instrumentos e práticas na finança internacional
Maryse Farhi,"FARHI, Maryse;FARHI, MARYSE",NAO,O Brasil na era da Globalização: condicionantes domésticos e internacionais ao desenvolvimento
Ricardo de Medeiros Carneiro,"CARNEIRO, Ricardo de Medeiros",SIM,O Brasil na era da Globalização: condicionantes domésticos e internacionais ao desenvolvimento
Antonio Carlos Macedo e Silva,"SILVA, Antonio Carlos Macedo e",NAO,O Brasil na era da Globalização: condicionantes domésticos e internacionais ao desenvolvimento
Daniela Magalhães Prates,"PRATES, Daniela Magalhães",NAO,O Brasil na era da Globalização: condicionantes domésticos e internacionais ao desenvolvimento
Francisco Luiz Cazeiro Lopreato,"LOPREATO, Francisco Luiz Cazeiro",NAO,O Brasil na era da Globalização: condicionantes domésticos e internacionais ao desenvolvimento
Maria Cristina Penido de Freitas,"FREITAS, Maria Cristina Penido de",NAO,O Brasil na era da Globalização: condicionantes domésticos e internacionais ao desenvolvimento
claudio roberto amitrano,"AMITRANO, C. R.",NAO,O Brasil na era da Globalização: condicionantes domésticos e internacionais ao desenvolvimento
Maryse Farhi,"FARHI, Maryse;FARHI, MARYSE",SIM,Abertura Financeira e Regimes Cambiais nos Países Periféricos: lições para o Brasil
Daniela Magalhães Prates,"PRATES, Daniela Magalhães",NAO,Abertura Financeira e Regimes Cambiais nos Países Periféricos: lições para o Brasil
Maryse Farhi,"FARHI, Maryse;FARHI, MARYSE",NAO,Perspectiva da indústria financeira e o papel dos bancos públicos
Ricardo de Medeiros Carneiro,"CARNEIRO, Ricardo de Medeiros",SIM,Perspectiva da indústria financeira e o papel dos bancos públicos
Daniela Magalhães Prates,"PRATES, Daniela Magalhães",NAO,Perspectiva da indústria financeira e o papel dos bancos públicos
Maria Cristina Penido de Freitas,"FREITAS, Maria Cristina Penido de",NAO,Perspectiva da indústria financeira e o papel dos bancos públicos
Marcos Antonio Macedo Cintra,"CINTRA, Marcos Antonio Macedo",NAO,Perspectiva da indústria financeira e o papel dos bancos públicos
Júlio Sérgio Gomes de Almeida,"Almeida, Júlio Sérgio Gomes de",NAO,Perspectiva da indústria financeira e o papel dos bancos públicos
andre martins biancarelli,"biancarelli, andré martins",NAO,Perspectiva da indústria financeira e o papel dos bancos públicos
Maryse Farhi,"FARHI, Maryse;FARHI, MARYSE",NAO,"O Brasil e a periferia na era da globalização: inconversibilidade monetária, atraso produtivo, regimes de políticas econômicas e desenvolvimento"
Ricardo de Medeiros Carneiro,"CARNEIRO, Ricardo de Medeiros",SIM,"O Brasil e a periferia na era da globalização: inconversibilidade monetária, atraso produtivo, regimes de políticas econômicas e desenvolvimento"
Antonio Carlos Macedo e Silva,"SILVA, Antonio Carlos Macedo e",NAO,"O Brasil e a periferia na era da globalização: inconversibilidade monetária, atraso produtivo, regimes de políticas econômicas e desenvolvimento"
Daniela Magalhães Prates,"PRATES, Daniela Magalhães",NAO,"O Brasil e a periferia na era da globalização: inconversibilidade monetária, atraso produtivo, regimes de políticas econômicas e desenvolvimento"
Francisco Luiz Cazeiro Lopreato,"LOPREATO, Francisco Luiz Cazeiro",NAO,"O Brasil e a periferia na era da globalização: inconversibilidade monetária, atraso produtivo, regimes de políticas econômicas e desenvolvimento"
Emerson Fernandes Marçal,"MARÇAL, Emerson Fernandes",NAO,"O Brasil e a periferia na era da globalização: inconversibilidade monetária, atraso produtivo, regimes de políticas econômicas e desenvolvimento"
Maryse Farhi,"FARHI, Maryse;FARHI, MARYSE",NAO,Sistema Financeiro Internacional
Marcos Antonio Macedo Cintra,"CINTRA, Marcos Antonio Macedo",SIM,Sistema Financeiro Internacional
Maryse Farhi,"FARHI, Maryse;FARHI, MARYSE",NAO,Arquitetura Financeira Internacional
Marcos Antonio Macedo Cintra,"CINTRA, Marcos Antonio Macedo",SIM,Arquitetura Financeira Internacional
Maryse Farhi,"FARHI, Maryse;FARHI, MARYSE",NAO,Inserção Internacional Brasileira: temas de economia internacional
Marcos Antonio Macedo Cintra,"CINTRA, Marcos Antonio Macedo",SIM,Inserção Internacional Brasileira: temas de economia internacional
