TITULO,FLAG_ATIVA,OBJETIVOS
musicologia,NAO,NULL
processos criativos em performance sinfônica,NAO,NULL
musicologia,NAO,NULL
Análise aplicada de técnicas e processos composicionais,SIM,NULL
processos Criativos,NAO,NULL
