SEQUENCIA-ESPECIFICACAO,DISCIPLINA_Text,ENSINO_Id
"1","Princípios de Comunicações I",0
"1","Classificadores Baseados em Grafos - Floresta de Caminhos Ótimos - Teoria, Prática e Aplicações.",1
"2","Processamento de Imagens Médicas",1
"3","Reconhecimento de padrões em imagens",1
"4","Reprodutibilidade em Pesquisa Computacional",1
"5","Processamento de Imagens",1
"6","Redes Neurais Convolucionais Para Análise de Imagens",1
