TEXTO-EM-JORNAL-OU-REVISTA_Id,SEQUENCIA-PRODUCAO,TEXTOS-EM-JORNAIS-OU-REVISTAS_Id
0,"58",0
1,"59",0
2,"161",0
3,"296",0
4,"60",0
