PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"115",0
1,"181",0
2,"200",0
3,"218",0
4,"255",0
5,"281",0
