NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id
"Exame de qualificação de doutorado","Desenvolvimento de uma Ferramenta de Controle de Qualidade para Imagens de Tensor de Difusão","2014","Brasil","Português","","","",0
"Exame de qualificação de mestrado","Desenvolvimento dos Modelos Funcionais de Imagens de Ultrassom Harmônica e Composta","2015","Brasil","Português","","","",1
"Exame de qualificação de mestrado","Segmentação de imagens combinando corte normalizado e a transformada de watershed","2012","Brasil","Português","","","",2
