EMISSORA,TEMA,DATA-DA-APRESENTACAO,DURACAO-EM-MINUTOS,CIDADE,PROGRAMA-DE-RADIO-OU-TV_Id
"","Mulheres no mundo da tecnologia","21102014","90","",0
"Televisão","Pesquisa em detecção de lesões do cérebro","08052017","3","",1
"Televisão - Globo - Bom dia Brasil","Pesquisa em detecção de lesões do cérebro","15052017","3","",2
"","","18102013","60","",3
