PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"104",0
1,"105",0
2,"106",0
3,"108",0
4,"109",0
5,"110",0
6,"111",0
7,"112",0
8,"113",0
9,"107",0
