NIVEL-DO-CURSO,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id
"OUTRA","Hands-on Tutorial - Adessowiki: Collaborative Scientific Programming Environment","2011","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",0
"OUTRA","Diffusion MRI: from concepts to applications","2014","Brasil","Português","MEIO_DIGITAL","","NAO","","","NAO",1
