CLASSIFICACAO-DO-EVENTO,NOME-DO-EVENTO,CIDADE-DO-EVENTO,ANO-DE-REALIZACAO,TITULO-DOS-ANAIS-OU-PROCEEDINGS,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,ISBN,NOME-DA-EDITORA,CIDADE-DA-EDITORA,NOME-DO-EVENTO-INGLES,TRABALHO-EM-EVENTOS_Id
"INTERNACIONAL","IEEE Latin American Robotics Symposium (LARS 2006)","Santiago","2006","Proceedings of the third IEEE Latin American Robotics Symposium (LARS 2006)","","","","92","99","","IEEE","","",0
"INTERNACIONAL","2007 IEEE Multi-conference on Systems and Control","Cingapura","2007","Proceedings of the 2007 IEEE Multi-conference on Systems and Control","","","","","","","","","",1
"NACIONAL","XX Brazilian Symposium on Computer Graphics and Image Processing (SIBGRAPI 2007)","Belo Horizonte","2007","Proceedings of the XX Brazilian Symposium on Computer Graphics and Image Processing, 2007. SIBGRAPI 2007.","","","","45","52","","","","",2
"NACIONAL","The XXIInd Brazilian Symposium on Computer Graphics and Image Processing (Sibgrapi 2008)","Campo Grande","2008","Computer Graphics and Image Processing, Brazilian Symposium on","","","","196","203","","IEEE Computer Society","Los Alamitos, CA, USA","",3
"INTERNACIONAL","IEEE International Symposium on Intelligent Control - ISIC 2008.","San Antonio, Texas","2008","Intelligent Control, 2008. ISIC 2008. IEEE International Symposium on","","","","420","425","9781424422","","","",4
"INTERNACIONAL","American College of Rheumatology Annual Scientific Meeting","Philadelphia","2009","Arthritis and Rheumatism","60","10","","588","588","","Wiley-Blackwell","","",5
"NACIONAL","XXII Simpósio Barsileiro de Computação Gráfica e Processamento de Imagens (SIBGRAPI2009)","Rio de Janeiro","2009","Proceedings of XXII Brazilian Symposium on Computer Graphics and Image Processing","","","","126","132","","IEEE Computer Society","","",6
"INTERNACIONAL","","","","","","","","1173","1176","","","","",7
"LOCAL","XVII Congresso Interno de Iniciação Científica da Unicamp (PIBIC)","Campinas","2009","Caderno de Resumos do XVII Congresso Interno de Iniciação Científica da Unicamp","","","","","","","UNICAMP/Pró-Reitoria de Pesquisa","Campinas","",8
"NACIONAL","XXX CSBS - X Workshop de Informática Médica (WIM?10)","Belo Horizonte","2010","Anais do XXX CSBS","","","","1580","1589","","","","",9
