NATUREZA,TITULO-DO-TRABALHO-TECNICO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-TRABALHO-TECNICO-INGLES,TRABALHO-TECNICO_Id
"PARECER","Revisor de artigos para o XIX Brazilian Symposium on Computer Graphics and Image Processing - SIBGRAPI 2006","2006","Brasil","Português","NAO_INFORMADO","","NAO","","",0
"PARECER","Revisor de artigos para o XXI Brazilian Symposium on Computer Graphics and Image Processing - SIBGRAPI 2008","2008","Brasil","Português","NAO_INFORMADO","","NAO","","",1
"PARECER","Revisor de artigos para o XXIV Conference on Graphics, Patterns and Images - SIBGRAPI 2011","2011","Brasil","Português","NAO_INFORMADO","","NAO","","",2
"PARECER","Revisor de artigos para o XXV Conference on Graphics, Patterns and Images - SIBGRAPI 2012","2012","Brasil","Português","NAO_INFORMADO","","NAO","","",3
"PARECER","Revisor de artigos para o 5th International Symposium on Bio- and Medical Informatics and Cybernetics - BMIC 2011","2011","Estados Unidos","Inglês","NAO_INFORMADO","","NAO","","",4
"PARECER","Revisor de trabalhos para o XVIII Congresso Interno de Iniciação Científica da Unicamp - PIBIC 2010","2010","Brasil","Português","NAO_INFORMADO","","NAO","","",5
"PARECER","Revisor de artigos para o XXVI Conference on Graphics, Patterns and Images - SIBGRAPI 2013","2013","Peru","Inglês","MEIO_DIGITAL","","NAO","","",6
"PARECER","Revisor de artigo para o XXVIII Conference on Graphics, Patterns and Images - SIBGRAPI 2015","2015","Brasil","Português","VARIOS","","NAO","","",7
"PARECER","Revisor de artigos para o XXVII Conference on Graphics, Patterns and Images - SIBGRAPI 2014","2014","Brasil","Português","NAO_INFORMADO","","NAO","","",8
"PARECER","Revisora de artigos para o Congresso Brasileiro de Automática - CBA 2014","2014","Brasil","Português","NAO_INFORMADO","","NAO","","",9
"ASSESSORIA","Comitê Assessor interno - PIBIC","2017","Brasil","Português","OUTRO","","NAO","","",10
"PARECER","Revisor de artigos para o IEEE International Conference on Systems, Man and Cybernetics - SMC 2013","2013","Grã-Bretanha","Inglês","NAO_INFORMADO","","NAO","","",11
