NOME-GRANDE-AREA-DO-CONHECIMENTO,NOME-DA-AREA-DO-CONHECIMENTO,NOME-DA-SUB-AREA-DO-CONHECIMENTO,NOME-DA-ESPECIALIDADE,AREAS-DO-CONHECIMENTO_Id
"CIENCIAS_EXATAS_E_DA_TERRA","","","",0
"CIENCIAS_EXATAS_E_DA_TERRA","","","",1
"CIENCIAS_EXATAS_E_DA_TERRA","","Metodologia e Técnicas da Computação","",2
"CIENCIAS_EXATAS_E_DA_TERRA","","Metodologia e Técnicas da Computação","",3
"CIENCIAS_EXATAS_E_DA_TERRA","","Visão Computacional","",4
"CIENCIAS_EXATAS_E_DA_TERRA","","Visão Computacional","",5
"CIENCIAS_EXATAS_E_DA_TERRA","","Visão Computacional","",6
"ENGENHARIAS","","Materiais Elétricos","Materiais e Componentes Semicondutores",7
"CIENCIAS_EXATAS_E_DA_TERRA","","","",8
"ENGENHARIAS","","Telecomunicações","Processamento Digital de Sinais",9
"CIENCIAS_EXATAS_E_DA_TERRA","","Metodologia e Técnicas da Computação","",10
"CIENCIAS_EXATAS_E_DA_TERRA","","Sistemas de Computação","",11
